STT,Giai đoạn,Hạng mục đánh giá,Hạng mục con,Chi tiết công việc,Tỉ lệ đáp ứng,Mức độ quan trọng,Tình trạng
1,Xác định thông tin,"Đọc brief để nắm cơ bản về sản phẩm, dịch vụ",,"- Sản phẩm & dịch vụ cần quảng cáo là gì? Có khả năng hạn chế quảng cáo không?
- Hành vi mua hàng: Có thể mua ngay hay cần tư vấn, 
- Mô hình: B2B hay B2C
- Thông tin đối tượng khách hàng mục tiêu (nhân khẩu học, nghề nghiệp, vị trí, hành vi,...)
- Có link web chưa",,,
2,Xác định thông tin,Xác định mục tiêu của chiến dịch,,"- Sản phẩm thuộc ngành hàng nào
- Mục tiêu: thu thập thông tin khách hàng để tư vấn; giới thiệu sản phẩm & dịch vụ; bán hàng…",,,
3,Xác định thông tin,Kiểm tra thông tin website,,"- Website hoàn chỉnh hay Landing page?
- Các mã theo dõi cơ bản: GA, GTM, GAds, FB pixel, Tiktok Pixel
- Mã nguồn là gì?",,,
4,Xác định thông tin,Đánh giá nhanh yêu cầu của khách hàng về kênh? hình thức quảng cáo,,"- Triển khai kênh nào? Hình thức nào?
- Đặc thù của loại traffic đó?
- Traffic đó có khớp với khách hàng mục tiêu? Tư vấn thêm các kênh, hình thức nào? ( Lưu ý về tệp đối tượng và ngân sách để cân nhắc đề xuất)",,,
5,Xác định thông tin,Tổng hợp thông tin quan trọng,,"- Khách hàng mục tiêu quan tâm chính tới thông tin gì của sản phẩm, dịch vụ? ( giá, ưu đãi, tgian ra mắt, chất lượng dịch vụ, quy trình làm việc …)
- Các thông tin bổ trợ cần có? ( Giới thiệu sản phẩm, thông tin liên hệ, USP, đơn vị cung cấp thông tin sản phẩm, dịch vụ, bảo hành, bảo trì …)
- Chỉ số quan trọng liên quan đến: 
+ Lượt liên hệ
+ Lượt hoàn tất đăng ký tư vấn
+ Số lần mua hàng thành công
- Chỉ số theo dõi
+ Time On Site - tỷ lệ thoát - số trang/phiên
+ Khác: Head map, cuộn chuột, record",,,
6,Checklist chung,Trải nghiệm người dùng,Nội dung trang đích,"Đánh giá nhanh xem trang đích cung cấp đủ thông tin quan trọng, thông tin bổ sung chưa?",FALSE,Cực kỳ quan trọng,
7,Checklist chung,Trải nghiệm người dùng,Giao diện trang đích,"Đánh giá nhanh giao diện: Bố cục, màu sắc.",,,
8,Checklist chung,Trải nghiệm người dùng,Kiểm tra nút bấm,Các nút bấm trên trang hoạt động ổn định hay không? Call. Zalo. Form tư vấn. Form mua hàng,,,
9,Checklist chung,Thân thiện di động,Kiểm tra tính tương thích trên di động,Kiểm tra Google đã đánh giá website là trang thân thiện với thiết bị di động hay chưa?,FALSE,Cực kỳ quan trọng,
10,Checklist chung,Tốc độ tải trang,PageSpeed Insights,"Kiểm tra website đã đạt các điểm >60/100 chưa:
- Tốc độ trên thiết bị di động
- Tốc độ trên PC",FALSE,,
